Numero,Mot,example sentence (facile),Corrected Sentence
319,Corporation,The corporation operates in several countries worldwide.,The corporation operates in several countries worldwide.
320,corrupted,The government was accused of corrupted practices.,The government was accused of corrupted practices.
321,Cost,The cost of living in this city is quite high.,The cost of living in this city is quite high.
322,cost-effective,Investing in energy-efficient appliances can be cost-effective in the long run.,Investing in energy-efficient appliances can be cost-effective in the long run.
323,costly,Repairing the car was more costly than buying a new one.,Repairing the car was more costly than buying a new one.
324,Counter,You can find the sugar on the counter next to the coffee machine.,You can find the sugar on the counter next to the coffee machine.
325,Courier,The courier delivered the package to my doorstep.,The courier delivered the package to my doorstep.
326,Cover,The insurance policy should cover any damages caused by the accident.,The insurance policy should cover any damages caused by the accident.
327,Cover letter,Don't forget to attach your cover letter when applying for the job.,Don't forget to attach your cover letter when applying for the job.
328,Coverage,The insurance policy provides coverage for medical expenses.,The insurance policy provides coverage for medical expenses.
329,Coworker,My coworker and I are collaborating on a new project.,My coworker and I are collaborating on a new project.
330,Crash,The computer crashed while I was in the middle of an important task.,The computer crashed while I was in the middle of an important task. (Ajout de 'Crash')
331,Credentials,She presented her credentials at the job interview.,She presented her credentials at the job interview.
332,Credit,You can pay by credit card or cash.,You can pay by credit card or cash.
333,Criteria,Applicants must meet specific criteria to be considered for the job.,Applicants must meet specific criteria to be considered for the job.
334,Critical,The situation is critical; we need to act fast.,The situation is critical; we need to act fast.
335,Criticize,It's not polite to criticize others in public.,It's not polite to criticize others in public.
336,Crowd,The crowd cheered loudly as the team scored a goal.,The crowd cheered loudly as the team scored a goal.
337,Crowded,The train was crowded during rush hour.,The train was crowded during rush hour.
338,Crucial,It's crucial that we meet the deadline.,It's crucial that we meet the deadline.
339,Cruise,They went on a cruise around the Mediterranean.,They went on a cruise around the Mediterranean.
340,Currency,The currency in this country is the euro.,The currency in this country is the euro.
