Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
287,Consequence,The consequences of climate change are becoming increasingly severe.,The consequences of climate change are becoming increasingly severe.,Modifié
288,Consider,We need to consider all options before making a decision.,We need to consider all options before making a decision.,Non modifié
289,Considerable,There has been a considerable increase in sales this quarter.,There has been a considerable increase in sales this quarter.,Non modifié
290,considering,"Considering his lack of experience, he did a good job on the project.","Considering his lack of experience, he did a good job on the project.",Non modifié
291,Consignment,The consignment of goods arrived at the warehouse yesterday.,The consignment of goods arrived at the warehouse yesterday.,Non modifié
292,Consist,The report consists of three main sections.,The report consists of three main sections.,Modifié
293,Consistent,Her performance has been consistent throughout the year.,Her performance has been consistent throughout the year.,Non modifié
294,Consistently,He consistently delivers high-quality work on time.,He consistently delivers high-quality work on time.,Non modifié
295,Constant,There's been a constant stream of customers all day.,There's been a constant stream of customers all day.,Non modifié
296,Constantly,The price of goods is constantly changing due to market fluctuations.,The price of goods is constantly changing due to market fluctuations.,Non modifié
297,Construction,The construction of the new office building is almost complete.,The construction of the new office building is almost complete.,Non modifié
298,Consult,We'll need to consult with the legal team before proceeding.,We'll need to consult with the legal team before proceeding.,Non modifié
299,Consultant,The company hired a consultant to advise on marketing strategy.,The company hired a consultant to advise on marketing strategy.,Non modifié
300,Consume,It's important to consume a balanced diet for good health.,It's important to consume a balanced diet for good health.,Non modifié
301,Consumer,Consumer demand for eco-friendly products is increasing.,Consumer demand for eco-friendly products is increasing.,Non modifié
302,Contain,The box contains all the necessary components for assembly.,The box contains all the necessary components for assembly.,Modifié
303,Container,The shipment arrived in a large container.,The shipment arrived in a large container.,Non modifié
304,Continual,The company strives for continual improvement in its products.,The company strives for continual improvement in its products.,Non modifié
305,Continuation,The continuation of the project depends on securing additional funding.,The continuation of the project depends on securing additional funding.,Non modifié
306,Continue,Let's continue our discussion after the break.,Let's continue our discussion after the break.,Non modifié
307,Contract out,We decided to contract out the IT services to a specialized firm.,We decided to contract out the IT services to a specialized firm.,Non modifié
308,Contribute,Employees are encouraged to contribute ideas for improvement.,Employees are encouraged to contribute ideas for improvement.,Non modifié
309,Contribution,Your contribution to the team has been invaluable.,Your contribution to the team has been invaluable.,Non modifié
310,Control,The manager needs to maintain control over the project.,The manager needs to maintain control over the project.,Non modifié
311,Control panel,The control panel allows you to adjust various settings.,The control panel allows you to adjust various settings.,Non modifié
